Date,Location,Latitude,Longitude,Depth (km),Magnitude,Casualties,Injured ,Missing,Collapsed building
1720-10-31,Tainan,23.4,120.5,-,6.0,many deaths,,,
1736-01-30,Tainan-Jiayi,23.1,120.3,-,7.0,372,,,689
1776-12-11,Jiayi,-,-,-,-,many deaths,,,
1792-08-09,Nantou-Zhanghua-Jiayi,23.86,121.04,12.5,7.3,617,,,24621
1815-10-13/14,Jiayi-North,24.0,121.7,-,7.1,113,,,243
1839-06-27,Jiayi,23.5,120.5,-,6.5,117,,,7515
1845-03-04,Jiayi-Zhanghua,24.1,120.7,-,6.5,381,,,4220
1848-12-03,Yunlin-Zhanghua,24.1,120.5,-,7.0,1030,,,13993
1862-06-07,Tainan-Jiayi-Zhanghua,23.2,120.2,-,6.5,>1700,,,8735
1867-12-18,Keelung Offshore,25.3,121.7,-,7.0,Hundreds of people were swept away by tsunami,,,
1881-02-18,Taipei,24.6,120.7,-,6.0,11,,,210
1904-04-24 14:39,Jiayi,23.5,120.3,-,6.1,3,,,66
1904-11-06 04:25,Jiayi,23.6,120.3,-,6.1,145,,,661
1906-03-17 06:43,Jiayi Minxiong,23.6,120.5,-,7.1,1258,,,6769
1906-03-26 11:29,Yunlin Douliu,23.7,120.5,-,5.0,1,,,29
1906-04-07 12:52,Tainan Yanshui Port,23.4,120.4,-,5.3,1,,,63
1906-04-14 03:18,Tainan Yanshui Port,23.4,120.4,-,6.6,15,,,1794
1908-01-11 11:35,Hualien Wanrong,23.7,121.4,-,7.3,2,,,3
1909-04-15 03:54,Taipei,25.0,121.5,-,7.3,9,,,122
1910-04-12 08:22,Northeast Offshore,25.9,124.0,358,8.3,60,,,13
1916-08-28 15:27,Zhuoshui River Upper Stream,24.0,121.0,-,6.8,16,,,614
1916-11-15 06:31,Taichung Southeast,24.1,120.9,-,6.2,1,,,97
1917-01-05 00:55,Nantou Puli,24.0,121.0,-,6.2,54,,,130
1917-01-07 02:08,Nantou Puli,23.9,120.9,-,5.5,,,,187
1920-06-05 12:21,Hualien Offshore,23.7,122.0,208,8.2,5,,,273
1922-09-02 03:16,Suao Offshore,24.5,122.2,-,7.6,5,,,14
1922-10-15 07:47,Suao Offshore,24.6,122.3,-,5.9,6,,,
1922-12-02 11:46,Suao Offshore,24.6,122.0,-,6.0,1,,,1
1927-08-25 02:09,Tainan Xinying,23.3,120.3,-,6.5,11,,,214
1930-12-08 16:01,Tainan Xinying,23.3,120.4,-,6.1,4,,,49
1933-05-04 07:30,Hualien,24.2,121.5,-,-,1,,,
1935-04-21 06:02,"Guandao Mountain, Miaoli County",24.4,120.8,5,7.1,3276,,,17907
1935-07-17 00:19,Houlong River Estuary,24.6,120.7,30,6.2,44,,,1734
1939-11-07 11:53,"Zhuolan, Miaoli County",24.4,120.8,10,5.8,,,,4
1941-12-17 03:19,Chiayi Zhongpu,23.4,120.5,12,7.1,360,,,4520
1943-10-23 00:01,Hualien,23.8,121.5,5,6.2,1,,,1
1943-12-02 13:09,Green Island Southern Offshore,22.5,121.5,40,6.1,3,,,139
1946-12-05 06:47,Tainan Xinhua,23.1,120.3,5,6.1,74,,,1954
1951-10-22 05:34,Hualien,23.9,121.7,4,7.3,68,,,
1951-10-22 11:29,Hualien,24.1,121.7,1,7.1,,,,
1951-10-22 13:43,Hualien,23.9,122.0,18,7.1,,,,
1951-11-25 02:47,Taitung,23.1,121.2,16,6.1,17,,,1016
1951-11-25 02:50,Taitung,23.2,121.4,36,7.3,,,,
1955-04-04 19:11,Pingtung Hengchun,21.8,120.9,5,6.8,,,,22
1957-02-24 04:26,Hualien,23.8,121.8,30,7.3,11,,,44
1957-10-20 02:28,Hualien,23.7,121.5,10,6.6,4,,,
1959-04-27 04:41,Yonaguni,24.1,123.0,150,7.7,1,,,9
1959-08-15 16:57,Pingtung Hengchun,21.7,121.3,20,7.1,16,,,1214
1963-02-13 16:50,Yilan,24.4,122.1,47,7.3,3,,,6
1963-03-04 21:38,Yilan,24.6,121.1,5,6.4,1,,,
1964-01-18 20:04,Chiayi-Tainan,23.2,120.6,18,6.3,106,,,10924
1965-05-18 01:19,Taitung Dawu,22.5,120.8,21,6.5,,,,21
1966-03-13 00:31,Hualien Offshore,24.2,122.7,42,7.8,4,,,24
1967-10-25 08:59,Yilan,24.4,122.1,20,6.1,2,,,21
1972-01-25 10:07,Taitung Offshore,22.5,122.3,33,7.3,1,,,5
1972-04-24 17:57,Hualien,23.5,121.4,15,6.9,5,,,50
1978-12-23 19:23,Taitung Offshore,23.3,122.1,4,6.8,2,,,
1982-01-23 22:11,Hualien,24.0,121.6,3,6.5,1,,,
1986-11-15 05:20,Hualien Offshore,24.0,121.8,15,6.8,15,,,37
1990-12-13 11:01,Hualien,23.9,121.5,3,6.5,2,,,3
1993-12-16 05:49,Jiayi,23.2,120.5,12.5,5.7,,,,
1994-06-05 09:09,Yilan,24.4,121.8,5.3,6.5,1,,,1
1995-02-23 13:19,Hualien,24.2,121.69,21.7,5.8,2,,,
1995-06-25 14:59,Yilan,24.61,121.67,39.9,6.5,1,,,6
1998-07-17 12:51,Jiayi,23.5,120.66,2.8,6.2,5,,,18
1999-09-21 01:47,Nantou,23.85,120.82,8.0,7.3,2415,11305,29,51711
1999-10-22 10:19,Jiayi City,23.52,120.42,16.6,6.4,230,,,7
2000-05-17 11:25,Taichung Deji,24.19,121.1,9.7,5.6,3,,,
2000-06-11 02:23,Nantou,23.9,121.11,16.2,6.7,2,,,
2002-03-31 14:52,Hualien Offshore,24.14,122.19,13.8,6.8,7,,,
2002-05-15 11:46,Yilan Suao,24.65,121.87,8.5,6.2,1,,,
2003-12-10 12:38,Taitung Chenggong,23.07,121.4,17.7,6.4,,,,
2004-05-01 15:16,Hualien,24.08,121.53,21.6,5.3,2,,,
2006-04-01 18:02,Taitung ,22.88,121.08,7.2,6.2,,,,14
2006-12-26 20:26,Pingtung Hengchun Offshore,21.69,120.56,44.1,7.0,2,42,,3
2006-12-26 20:34,Pingtung Hengchun Offshore,21.97,120.42,50.2,7.0,,,,
2009-11-05 17:32,Nantou,23.79,120.72,24.1,6.2,,1,,
2009-12-19 21:02,Hualien Offshore,23.79,121.66,43.8,6.9,,17,,many
2010-03-04 08:18,Kaohsiung Maolin,22.97,120.71,22.6,6.4,96,,,
2012-02-26 10:35,Pingtung Wutai,22.75,120.75,26.3,6.4,,,,
2013-03-27 10:03,Nantou ,23.9,121.05,19.4,6.2,1,97,,
2013-06-02 13:43,Nantou Yuchi,23.86,120.97,14.5,6.5,5,18,,
2013-10-31 20:02,Hualien Wanrong,23.57,121.35,15.0,6.4,1,,,
2015-02-14 04:06,Taiwan East Sea,22.66,121.4,27.8,6.3,,,,
2015-04-20 09:42,Hualien Offshore,24.02,122.44,30.6,6.4,1,1,,
2016-02-06 03:57,Kaohsiung Meinong,22.92,120.54,14.6,6.6,11,551,,
2016-05-31 13:23,Northeast Offshore,25.49,122.68,256.9,6.9,,,,
2016-10-06 23:52,Taiwan East Sea,22.63,121.34,23.7,6.2,,,,
2017-02-11 01:12,Kaohsiung Offshore,22.87,120.14,16.2,5.7,,4,,
2018-02-06 23:50,Taiwan East Sea,24.1,121.73,6.3,6.2,17,291,,
2019-04-18 13:01,Hualien Xiulin,24.06,121.54,18.8,6.3,1,16,,
2019-08-08 05:28,Yilan Offshore,24.43,121.91,22.5,6.2,1,,,
2020-12-10 21:19,Yilan Offshore,24.74,122.03,76.8,6.7,,,,
2021-04-18 22:14,Hualien Shoufeng,23.86,121.48,13.9,6.2,,,,
2021-10-24 13:11,Yilan Nanao,24.53,121.78,65.6,6.5,,,,
2022-01-03 17:46,Taiwan East Sea,24.02,122.18,19.4,6.0,,,,
2022-03-23 01:41,Hualien Fengbin Offshore,23.43,121.52,30.6,6.7,,,1,
2022-09-17 21:41,Taitung Guanshan,23.08,121.26,7.3,6.6,,,,
2022-09-18 14:44,Taitung Chishang,23.14,121.2,7.0,6.8,1,146,,
2022-12-15 12:03,Hualien Offshore,23.78,121.84,16.3,6.5,,,6,
2024-04-03 07:58,Hualien Shoufeng,23.77,121.67,22.5,7.2,18,1155,2,
2024-04-03 08:11,Hualien Shoufeng,24.13,121.65,13.4,6.5,,,,
2024-04-23 02:26,Hualien Offshore,23.72,121.66,10.0,6.0,,,,
2024-04-23 02:32,Hualien Shoufeng,23.85,121.54,10.0,6.3,,,,
